name,frame,card_type,sub_type,cardmarket,tcgplayer,word_count,adds,banishes,negates,field_wipe,searches,recovers,leave_field_trigger,send_trigger,OPT,release
"""A"" Cell Breeding Device",spell,Spell Card,Continuous,0.19,0.22,16,False,False,False,False,False,False,False,False,False,2007-02-15
"""A"" Cell Incubator",spell,Spell Card,Continuous,0.18,0.20,32,False,False,False,False,False,False,False,False,False,2007-07-21
"""A"" Cell Recombination Device",spell,Spell Card,Quick-Play,0.09,0.20,66,True,True,False,False,False,False,False,True,False,2016-07-09
"""A"" Cell Scatter Burst",spell,Spell Card,Quick-Play,0.15,0.10,22,False,False,False,False,False,False,False,False,False,2006-11-16
"""Infernoble Arms - Almace""",spell,Spell Card,Equip,0.00,1.05,91,True,True,False,False,False,True,False,True,False,2023-04-22
"""Infernoble Arms - Durendal""",spell,Spell Card,Equip,0.09,0.14,95,True,False,False,False,False,True,False,True,False,2020-04-18
"""Infernoble Arms - Hauteclere""",spell,Spell Card,Equip,0.10,0.09,91,False,False,False,False,False,False,False,True,False,2020-04-18
"""Infernoble Arms - Joyeuse""",spell,Spell Card,Equip,0.19,0.22,72,True,False,False,False,False,True,False,True,False,2020-04-18
1st Movement Solo,spell,Spell Card,Normal,6.13,2.40,44,False,False,False,False,False,False,False,False,False,2014-07-19
3-Hump Lacooda,effect,Effect Monster,Beast,0.10,0.20,22,False,False,False,False,False,False,False,False,False,2004-02-26
"30,000-Year White Turtle",normal,Normal Monster,Aqua,0.00,0.00,11,False,False,False,False,False,False,False,False,False,1999-10-17
4-Starred Ladybug of Doom,effect,Flip Effect Monster,Insect,0.10,0.01,9,False,False,False,False,False,False,False,False,False,2000-12-14
7,spell,Spell Card,Continuous,0.51,0.56,43,False,False,False,False,False,False,False,True,False,2004-02-26
7 Colored Fish,normal,Normal Monster,Fish,0.10,0.16,12,False,False,False,False,False,False,False,False,False,2000-01-27
7 Completed,spell,Spell Card,Equip,0.24,0.11,24,False,False,False,False,False,False,False,False,False,2000-09-28
8-Claws Scorpion,effect,Effect Monster,Insect,0.10,0.19,31,False,False,False,False,False,False,False,False,True,2002-03-21
A Cat of Ill Omen,effect,Flip Effect Monster,Beast,0.77,1.94,31,True,False,False,False,False,False,False,False,False,2002-05-16
