name,frame,card_type,monster_type,level,attribute,cardmarket,tcgplayer,word_count
3-Hump Lacooda,effect,Effect Monster,Beast,3,EARTH,0.10,0.20,22
"30,000-Year White Turtle",normal,Normal Monster,Aqua,5,WATER,0.00,0.00,11
4-Starred Ladybug of Doom,effect,Flip Effect Monster,Insect,3,WIND,0.10,0.10,9
7 Colored Fish,normal,Normal Monster,Fish,4,WATER,0.12,0.15,12
8-Claws Scorpion,effect,Effect Monster,Insect,2,DARK,0.10,0.19,31
A Cat of Ill Omen,effect,Flip Effect Monster,Beast,2,DARK,0.77,1.94,31
A Man with Wdjat,effect,Effect Monster,Spellcaster,4,DARK,0.05,0.11,38
A-Assault Core,effect,Union Effect Monster,Machine,4,LIGHT,0.87,0.66,84
A-Team: Trap Disposal Unit,effect,Effect Monster,Machine,2,FIRE,0.59,0.25,31
A-to-Z-Dragon Buster Cannon,fusion,Fusion Monster,Machine,10,LIGHT,0.42,0.49,89
A/D Changer,effect,Effect Monster,Warrior,1,LIGHT,0.08,0.22,19
A★Speculation,fusion,Fusion Monster,Warrior,7,LIGHT,0.00,0.00,84
Abaki,effect,Effect Monster,Fiend,4,FIRE,0.05,0.15,17
Abare Ushioni,effect,Effect Monster,Beast-Warrior,4,EARTH,0.11,0.23,31
ABC-Dragon Buster,fusion,Fusion Monster,Machine,8,LIGHT,0.44,0.42,79
Abominable Unchained Soul,effect,Effect Monster,Fiend,8,DARK,0.07,0.11,95
Absolute Crusader,effect,Effect Monster,Warrior,4,EARTH,0.11,0.13,21
Absolute King - Megaplunder,normal,Normal Monster,Dinosaur,6,EARTH,0.00,0.00,18
Absolute King Back Jack,effect,Effect Monster,Fiend,1,DARK,0.15,0.13,94
Absorbing Jar,effect,Flip Effect Monster,Rock,3,EARTH,0.04,0.18,35
Absorbing Kid from the Sky,effect,Effect Monster,Fairy,4,LIGHT,0.12,0.14,31
Absorouter Dragon,effect,Effect Monster,Dragon,7,DARK,1.50,1.63,59
Abyss Actor - Comic Relief,effect_pendulum,Pendulum Effect Monster,Fiend,3,DARK,0.12,0.17,104
Abyss Actor - Curtain Raiser,effect_pendulum,Pendulum Effect Monster,Fiend,4,DARK,0.30,0.29,77
Abyss Actor - Evil Heel,effect_pendulum,Pendulum Effect Monster,Fiend,8,DARK,1.43,1.10,109
Abyss Actor - Extras,effect_pendulum,Pendulum Effect Monster,Fiend,1,DARK,0.17,0.22,96
Abyss Actor - Funky Comedian,effect_pendulum,Pendulum Effect Monster,Fiend,1,DARK,0.21,0.22,131
Abyss Actor - Hyper Director,link,Link Monster,Fiend,L1,DARK,0.20,0.21,72
Abyss Actor - Leading Lady,effect_pendulum,Pendulum Effect Monster,Fiend,4,DARK,0.15,0.18,132
Abyss Actor - Liberty Dramatist,effect_pendulum,Pendulum Effect Monster,Fiend,4,DARK,0.34,0.06,128
Abyss Actor - Mellow Madonna,effect_pendulum,Pendulum Effect Monster,Fiend,7,DARK,0.18,0.40,156
Abyss Actor - Sassy Rookie,effect_pendulum,Pendulum Effect Monster,Fiend,4,DARK,0.30,0.84,117
Abyss Actor - Super Producer,link,Link Monster,Fiend,L2,DARK,0.12,0.07,75
Abyss Actor - Superstar,effect_pendulum,Pendulum Effect Monster,Fiend,7,DARK,0.15,0.23,71
Abyss Actor - Trendy Understudy,effect_pendulum,Pendulum Effect Monster,Fiend,2,DARK,0.07,0.08,85
Abyss Actor - Twinkle Little Star,effect_pendulum,Pendulum Effect Monster,Fiend,4,DARK,0.10,0.13,91
Abyss Actor - Wild Hope,effect_pendulum,Pendulum Effect Monster,Fiend,4,DARK,0.15,0.23,129
Abyss Dweller,xyz,XYZ Monster,Sea Serpent,4,WATER,0.87,0.58,48
Abyss Flower,normal,Normal Monster,Plant,2,EARTH,0.00,0.00,12
Abyss Keeper,link,Link Monster,Fish,L2,WATER,0.15,0.05,68
Abyss Shark,effect,Effect Monster,Fish,5,WATER,7.90,9.74,109
Abyss Soldier,effect,Effect Monster,Aqua,4,WATER,4.40,2.24,24
Abyss Warrior,effect,Effect Monster,Aqua,4,WATER,0.13,0.20,32
Abyssal Kingshark,effect,Effect Monster,Fish,4,WATER,0.31,0.21,21
Accel Synchro Stardust Dragon,synchro,Synchro Monster,Dragon,8,WIND,25.46,34.10,99
Accel Synchron,synchro,Synchro Tuner Monster,Machine,5,DARK,0.14,0.21,82
Accesscode Talker,link,Link Monster,Cyberse,L4,DARK,20.96,19.15,89
Achacha Archer,effect,Effect Monster,Warrior,3,FIRE,0.03,0.13,14
Achacha Chanbara,effect,Effect Monster,Warrior,3,FIRE,0.08,0.13,37
Achichi @Ignister,effect,Effect Monster,Cyberse,2,FIRE,0.32,0.18,64
Acid Crawler,normal,Normal Monster,Insect,3,EARTH,0.00,0.00,11
Acorno,effect,Effect Monster,Plant,1,EARTH,0.05,0.12,23
Acrobat Monkey,normal,Normal Monster,Machine,3,EARTH,0.04,0.10,15
Acrobatic Magician,effect_pendulum,Pendulum Effect Monster,Spellcaster,5,DARK,0.12,0.20,85
Ad Libitum of Despia,effect,Effect Monster,Fairy,8,DARK,0.12,0.20,93
Adamancipator Analyzer,effect,Tuner Monster,Rock,4,EARTH,0.18,0.12,72
Adamancipator Crystal - Dragite,effect,Effect Monster,Rock,4,WATER,0.08,0.19,70
Adamancipator Crystal - Leonite,effect,Effect Monster,Rock,4,FIRE,0.06,0.11,81
Adamancipator Crystal - Raptite,effect,Effect Monster,Rock,4,WIND,0.07,0.10,81
Adamancipator Researcher,effect,Tuner Monster,Rock,2,EARTH,0.87,0.40,74
Adamancipator Risen - Dragite,synchro,Synchro Monster,Rock,8,WATER,2.01,0.99,100
