name,frame,card_type,sub_type,cardmarket,tcgplayer,word_count,adds,banishes,negates,field_wipe,searches,recovers,leave_field_trigger,send_trigger,OPT,release
Accesscode Talker,link,Link Monster,Cyberse,19.71,19.59,89,False,True,False,False,False,False,False,False,False,2020-01-11
Anti-Spell Fragrance,trap,Trap Card,Continuous,0.23,0.29,20,False,False,False,False,False,False,False,False,False,2000-12-07
"Apollousa, Bow of the Goddess",link,Link Monster,Fairy,8.70,5.01,64,False,False,True,False,False,False,False,False,False,2019-04-13
Ash Blossom & Joyous Spring,effect,Tuner Monster,Zombie,3.08,2.96,64,True,False,True,False,False,False,False,True,True,2017-01-14
Borreload Dragon,link,Link Monster,Dragon,0.98,0.78,89,False,False,False,False,False,False,False,True,True,2017-07-08
Borrelsword Dragon,link,Link Monster,Dragon,1.43,1.20,97,False,False,False,False,False,False,False,False,True,2018-04-14
Called by the Grave,spell,Spell Card,Quick-Play,0.20,0.38,42,False,True,True,False,False,False,False,False,False,2018-01-13
Cosmic Cyclone,spell,Spell Card,Quick-Play,0.19,0.22,12,False,True,False,False,False,False,False,False,False,2016-04-09
Crossout Designator,spell,Spell Card,Quick-Play,14.79,13.27,54,False,True,True,False,False,False,False,False,False,2019-05-21
Crystron Halqifibrax,link,Link Monster,Machine,0.56,0.38,83,False,True,False,False,False,False,False,False,True,2017-11-25
Dark Hole,spell,Spell Card,Normal,0.12,0.18,6,False,False,False,False,False,False,False,False,False,1999-02-04
Dark Ruler No More,spell,Spell Card,Normal,0.10,0.28,45,False,False,True,False,False,False,False,False,False,2019-09-14
Dimension Shifter,effect,Effect Monster,Spellcaster,0.34,0.18,37,False,True,False,False,False,True,False,True,False,2019-09-14
Dimensional Barrier,trap,Trap Card,Normal,0.18,0.18,52,False,False,True,False,False,False,False,False,False,2016-07-09
Dinowrestler Pankratops,effect,Effect Monster,Dinosaur,0.24,0.40,59,False,False,False,False,False,False,False,False,True,2018-07-14
Droll & Lock Bird,effect,Effect Monster,Spellcaster,2.17,3.61,49,True,False,False,False,False,False,False,True,False,2011-09-17
